task_id,mae,nmae,da,status,horizon
task_000,7.512800177471987,0.8635446672142946,0.0,success,56
task_001,7.007886232068022,0.40888835735631435,0.0,success,56
task_002,6.087125838241848,0.4015321949319117,0.0,success,56
task_003,5.850502231738034,0.4923211339927959,0.0,success,56
task_004,8.687935869184548,0.4433153357693619,0.0,success,56
task_005,10.777036724719023,0.5807770274925297,0.0,success,56
task_006,11.343453973314539,0.37242126949082865,0.0,success,56
task_007,21.825383810214245,1.0686722031861289,0.0,success,56
task_008,12.69554871003295,0.6353017198359544,0.0,success,56
task_009,11.943043778520591,0.6922882771834589,0.0,success,56
