task_id,mae,nmae,da,status,horizon
task_000,0.11644505556638604,0.40094440834558653,0.78125,success,32
task_001,0.3193936614779287,0.8638099741559887,0.03125,success,32
task_002,0.4327060836710503,0.8458107837933289,0.75,success,32
task_003,0.33458353797283996,0.7284852031347264,0.0,success,32
task_004,0.1882778568772144,0.349494748590544,0.9375,success,32
task_005,0.3056808684641278,0.9699905328504526,0.5625,success,32
task_006,0.30561470512693023,0.19285968622225166,0.40625,success,32
task_007,0.1541466069693847,0.8951626922309117,0.78125,success,32
task_008,0.36670663386402513,0.9807829928484713,1.0,success,32
task_009,0.3266094020215937,0.2708407581126423,0.09375,success,32
