task_id,mae,nmae,da,status,horizon
task_000,0.7791666666666667,2.077777777777778,0.7777777777777778,success,24
task_001,0.5375,0.4147909967845659,0.0,success,24
task_002,0.5791666666666666,0.6495327102803737,0.625,success,24
task_003,0.054166666666666675,0.4482758620689655,1.0,success,24
task_004,1.9791666666666667,0.6258234519104084,0.391304347826087,success,24
task_005,8.416666666666666,1.7235494880546076,0.16666666666666666,success,24
task_006,10.220833333333333,1.0098806093042405,0.375,success,24
task_007,1.5416666666666667,0.2901960784313726,0.875,success,24
task_008,0.8916666666666666,0.5417721518987342,0.6521739130434783,success,24
task_009,0.43333333333333335,0.7482014388489209,0.8888888888888888,success,24
