task_id,mae,nmae,da,status,horizon
task_000,12200.762646153848,0.38743710239456597,0.5384615384615384,success,13
task_001,24935.82654545454,0.31094965246720235,1.0,success,11
task_002,7819.901437037036,0.2525468821243064,1.0,success,27
task_003,3330.3672888888887,0.28002795426484295,1.0,success,18
task_004,22290.7642,0.36509385408056333,0.16666666666666666,success,12
task_005,27936.721385714285,0.4418927127175523,0.14285714285714285,success,14
task_006,11057.904914285713,0.24675536632345507,0.42857142857142855,success,7
task_007,9891.076564705883,0.7352370319869286,0.7058823529411765,success,17
task_008,11489.990052173915,0.25487412135950077,0.8260869565217391,success,23
task_009,1491.075833333333,0.17993899682333117,1.0,success,12
