task_id,mae,nmae,da,status,horizon
task_000,101.94029850746269,6.789264413518887,0.22388059701492538,success,67
task_001,110.125,0.6664775413711584,0.90625,success,64
task_002,347.5625,1.7651166481510872,0.921875,success,64
task_003,1115.7307692307693,6.17125230463764,0.24358974358974358,success,78
task_004,1049.86301369863,9.341784495368112,0.0410958904109589,success,73
task_005,926.4459459459459,8.313970409895706,0.13513513513513514,success,74
task_006,473.9375,1.6567620712256936,0.0,success,64
task_007,995.3287671232877,4.3381097378948,0.1095890410958904,success,73
task_008,388.6470588235294,7.957844022884673,0.014705882352941176,success,68
task_009,935.0263157894736,12.637737862351056,0.15789473684210525,success,76
