task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,gpt4o_no_context_nmae,gpt4o_no_context_da,gpt4o_with_context_nmae,gpt4o_with_context_da,llmp_context_beat_arima,gpt4o_context_beat_arima,llmp_context_helped,gpt4o_context_helped,best_model
task_000,10.763681331543454,0.0,12.56874692674292,0.0,15.805292545203873,1.0,14.67348216663512,1.0,6.311529651554352,1.0,5.608974241084598,1.0,0,1,1,1,gpt4o_with_context
task_001,0.6657940015076304,1.0,1.0966561147911469,0.0,0.5054421537931293,1.0,0.4676673628447966,1.0,0.6113908395596648,1.0,0.6196069797324636,0.6666666666666666,1,1,1,0,llmp_with_context
task_002,,,,,,,,,,,,,0,0,0,0,
task_003,1.0,0.0,94.7243908623823,0.0,187.5068116356424,1.0,174.60816601600575,1.0,1.0,0.0,25.61060230256801,1.0,0,0,1,0,arima
task_004,,,,,,,,,,,,,0,0,0,0,
task_005,,,,,,,,,,,,,0,0,0,0,
task_006,,,,,,,,,,,,,0,0,0,0,
task_007,,,,,,,,,,,,,0,0,0,0,
task_008,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,arima
task_009,1.0,0.0,1.2678227569869414,0.0,0.4404645013552746,1.0,0.4575122978713759,1.0,0.505837155975495,0.9,1.0,0.0,1,0,0,0,llmp_no_context
