task_id,mae,nmae,da,status,horizon
task_000,2.2831838772680992,0.35051010482580625,0.6388888888888888,success,72
task_001,0.9945194411136039,0.39980681049793115,0.5833333333333334,success,72
task_002,0.7555143080545373,0.5619527911149451,0.7536231884057971,success,72
task_003,1.9243682861756473,0.49768145332128816,0.39705882352941174,success,72
task_004,2.641717183036721,0.5848820331446617,0.8028169014084507,success,72
task_005,3.6455754908664995,0.6709648142699078,0.8055555555555556,success,72
task_006,0.938845157867362,0.7307767715291899,0.7746478873239436,success,72
task_007,3.0462659057606976,0.534302424396517,0.7638888888888888,success,72
task_008,12.605849626109254,0.7451733769128622,0.7971014492753623,success,72
task_009,0.0,,,success,72
