id,domain,generator,seed,history_length,future_length,mean,std,trend,volatility,context_length,context_preview
task_000,economic_unemployment,UnemploymentCountyUsingSingleStateData,42,6,6,3.9,0.16329931618554527,0.017142857142856845,0.04187161942739207,529,"[BACKGROUND] This is the Unemployment Rate for Fort Smith, in the USA. || [SCENARIO] For reference, here is the Unemployment Rate for an American stat..."
task_001,economic_unemployment,UnemploymentCountyUsingSingleStateData,43,6,6,4.633333333333333,0.7363574011458174,-0.028571428571428973,0.1589260574582497,536,"[BACKGROUND] This is the Unemployment Rate for Noxubee County, in the USA. || [SCENARIO] For reference, here is the Unemployment Rate for an American ..."
task_002,economic_unemployment,UnemploymentCountyUsingSingleStateData,44,6,6,3.266666666666667,0.6236095644623235,0.34857142857142837,0.19090088649591264,532,"[BACKGROUND] This is the Unemployment Rate for Ravalli County, in the USA. || [SCENARIO] For reference, here is the Unemployment Rate for an American ..."
task_003,economic_unemployment,UnemploymentCountyUsingSingleStateData,45,6,6,3.15,0.3774917217635374,0.05999999999999965,0.11983864144925428,533,"[BACKGROUND] This is the Unemployment Rate for Dearborn County, in the USA. || [SCENARIO] For reference, here is the Unemployment Rate for an American..."
task_004,economic_unemployment,UnemploymentCountyUsingSingleStateData,46,6,6,3.033333333333333,0.1972026594366539,0.02857142857142828,0.06501186553402262,533,"[BACKGROUND] This is the Unemployment Rate for Boulder County, in the USA. || [SCENARIO] For reference, here is the Unemployment Rate for an American ..."
task_005,economic_unemployment,UnemploymentCountyUsingSingleStateData,47,6,6,2.283333333333333,0.20344259359556174,0.03714285714285707,0.08909894571003167,532,"[BACKGROUND] This is the Unemployment Rate for Cullman County, in the USA. || [SCENARIO] For reference, here is the Unemployment Rate for an American ..."
task_006,economic_unemployment,UnemploymentCountyUsingSingleStateData,48,6,6,3.783333333333333,0.5580223014261069,0.13428571428571362,0.14749488104435896,536,"[BACKGROUND] This is the Unemployment Rate for New Madrid County, in the USA. || [SCENARIO] For reference, here is the Unemployment Rate for an Americ..."
task_007,economic_unemployment,UnemploymentCountyUsingSingleStateData,49,6,6,5.216666666666667,1.1305111921407744,0.5742857142857137,0.21671141021859303,527,"[BACKGROUND] This is the Unemployment Rate for Piute County, in the USA. || [SCENARIO] For reference, here is the Unemployment Rate for an American st..."
task_008,economic_unemployment,UnemploymentCountyUsingSingleStateData,50,6,6,4.466666666666666,0.6155395104206463,0.3428571428571425,0.13780735277072526,534,"[BACKGROUND] This is the Unemployment Rate for Piscataquis County, in the USA. || [SCENARIO] For reference, here is the Unemployment Rate for an Ameri..."
task_009,economic_unemployment,UnemploymentCountyUsingSingleStateData,51,6,6,4.616666666666666,0.659334681495083,-0.24285714285714308,0.14281617618778078,535,"[BACKGROUND] This is the Unemployment Rate for McDonough County, in the USA. || [SCENARIO] For reference, here is the Unemployment Rate for an America..."
