task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,gpt4o_no_context_nmae,gpt4o_no_context_da,gpt4o_with_context_nmae,gpt4o_with_context_da,best_baseline_nmae,best_baseline_nmae_model,best_baseline_da,best_baseline_da_model,best_llm_context_nmae,best_llm_context_nmae_model,best_llm_context_da,best_llm_context_da_model,best_llm_no_context_nmae,best_llm_no_context_da,llm_wins_nmae,llm_wins_da,llm_wins_both,llm_wins_either,context_helped_nmae,context_helped_da,llmp_wins_nmae,llmp_wins_da,gpt4o_wins_nmae,gpt4o_wins_da,best_model_nmae,best_model_da
task_000,0.4240544157199517,0.9821428571428572,0.539087299478563,0.9821428571428572,0.4024154523385648,0.9821428571428572,0.4309968210139988,0.9821428571428572,3.2598124915486157,0.1428571428571428,0.5350673564205436,0.9642857142857144,0.4240544157199517,arima,0.9821428571428572,arima,0.4309968210139988,llmp_with_context,0.9821428571428572,llmp_with_context,0.4024154523385648,0.9821428571428572,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
task_001,0.4116596518251135,0.3392857142857143,0.3819916784068283,0.6607142857142857,0.7379819380132184,0.3392857142857143,0.8861431515554019,0.3392857142857143,0.4439989222197511,0.7142857142857143,0.5233736185055868,0.5178571428571429,0.3819916784068283,ets,0.6607142857142857,ets,0.5233736185055868,gpt4o_with_context,0.5178571428571429,gpt4o_with_context,0.4439989222197511,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,llm_wins,gpt4o_no_context
task_002,0.3377943998086366,0.7678571428571429,0.3355646262324592,0.7678571428571429,0.3782142693450692,0.7321428571428571,0.4703907143554561,0.3392857142857143,0.4329620140169641,0.6071428571428571,0.3532275569145583,0.7678571428571429,0.3355646262324592,ets,0.7678571428571429,arima,0.3532275569145583,gpt4o_with_context,0.7678571428571429,gpt4o_with_context,0.3782142693450692,0.7321428571428571,0,0,0,0,1,1,0,0,0,0,llm_wins,context_helped
task_003,0.5429331678864191,0.3571428571428571,0.4843707122651068,0.6428571428571429,1.3394381312039016,0.3571428571428571,0.8461694919692065,0.3571428571428571,0.8423674830076071,0.3928571428571428,0.7438531577028785,0.3392857142857143,0.4843707122651068,ets,0.6428571428571429,ets,0.7438531577028785,gpt4o_with_context,0.3571428571428571,llmp_with_context,0.8423674830076071,0.3928571428571428,0,0,0,0,1,0,0,0,0,0,llm_wins,ets
task_004,0.3562572473171454,0.6785714285714286,0.4411627541619596,0.6785714285714286,0.6163314826952976,0.6785714285714286,0.6329422632840294,0.6785714285714286,1.278194309900233,0.6607142857142857,0.6548569164459217,0.6607142857142857,0.3562572473171454,arima,0.6785714285714286,arima,0.6329422632840294,llmp_with_context,0.6785714285714286,llmp_with_context,0.6163314826952976,0.6785714285714286,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
task_005,0.4823385847954334,0.7857142857142857,0.5341930198470605,0.7857142857142857,0.6728553065709153,0.2142857142857142,0.758665970719485,0.2142857142857142,0.8223901527810252,0.4107142857142857,0.7064405802131862,0.5535714285714286,0.4823385847954334,arima,0.7857142857142857,arima,0.7064405802131862,gpt4o_with_context,0.5535714285714286,gpt4o_with_context,0.6728553065709153,0.4107142857142857,0,0,0,0,0,1,0,0,0,0,llm_wins,context_helped
task_006,0.3313150263452147,0.7321428571428571,0.3347501884114928,0.75,0.3772050317320787,0.75,0.3594774754537408,0.75,0.4436594266102572,0.5357142857142857,0.358683014599651,0.6428571428571429,0.3313150263452147,arima,0.75,ets,0.358683014599651,gpt4o_with_context,0.75,llmp_with_context,0.3772050317320787,0.75,0,0,0,0,1,0,0,0,0,0,llm_wins,ets
task_007,0.4913661471576382,0.9821428571428572,0.5100435212663417,0.9821428571428572,0.6365485683331091,0.9821428571428572,0.6188789152304979,0.9821428571428572,2.9394314819253573,0.1785714285714285,0.5255689039465081,0.9821428571428572,0.4913661471576382,arima,0.9821428571428572,arima,0.5255689039465081,gpt4o_with_context,0.9821428571428572,llmp_with_context,0.6365485683331091,0.9821428571428572,0,0,0,0,1,0,0,0,0,0,llm_wins,arima
task_008,0.3587909464129909,0.8928571428571429,0.3656544118565908,0.8928571428571429,0.4137875141311499,0.8928571428571429,0.4426521224239338,0.8928571428571429,0.3607345130395126,0.875,0.3466489826314206,0.8928571428571429,0.3587909464129909,arima,0.8928571428571429,arima,0.3466489826314206,gpt4o_with_context,0.8928571428571429,llmp_with_context,0.3607345130395126,0.8928571428571429,1,0,0,1,1,0,0,0,1,0,llmp_wins,arima
task_009,0.597600361038487,0.7321428571428571,0.5822915463222164,0.7321428571428571,0.948635173125056,0.2678571428571428,0.9381966121891764,0.2678571428571428,0.6448715248540886,0.6428571428571429,0.6759256157700388,0.625,0.5822915463222164,ets,0.7321428571428571,arima,0.6759256157700388,gpt4o_with_context,0.625,gpt4o_with_context,0.6448715248540886,0.6428571428571429,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
