task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,arima_score,ets_score,llmp_with_context_score,selected_model
task_000,10.763681331543454,0.0,12.56874692674292,0.0,15.805292545203873,1.0,14.67348216663512,1.0,0.6000000000000001,0.4153291513983581,0.4,arima
task_001,0.6657940015076304,1.0,1.0966561147911469,0.0,0.5054421537931293,1.0,0.4676673628447966,1.0,0.8740030640931189,0.2,0.8,arima
task_002,,,,,,,,,,,,arima
task_003,1.0,0.0,94.7243908623823,0.0,187.5068116356424,1.0,174.60816601600575,1.0,0.6000000000000001,0.3840553402223225,0.4,arima
task_004,,,,,,,,,,,,arima
task_005,,,,,,,,,,,,arima
task_006,,,,,,,,,,,,arima
task_007,,,,,,,,,,,,arima
task_008,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6000000000000001,0.6000000000000001,0.4,arima
task_009,1.0,0.0,1.2678227569869414,0.0,0.4404645013552746,1.0,0.4575122978713759,1.0,0.3322074787380943,0.2,0.8,llmp_with_context
