task_id,mae,nmae,da,status,horizon
task_000,5.043739992959873,12.568746926742921,0.0,success,10
task_001,2.3576228953830816,1.0966561147911467,0.0,success,10
task_002,0.8335358868429262,,,success,10
task_003,2.413441690438455,94.7243908623823,0.0,success,10
task_004,0.32308158326169584,,,success,10
task_005,0.16137981424282483,,,success,10
task_006,0.0,,,success,10
task_007,0.0,,,success,10
task_008,0.3498343300581935,1.0,0.0,success,10
task_009,6.195583456317554,1.2678227569869414,0.0,success,10
