task_id,mae,nmae,da,status,horizon
task_000,59.87078924973806,159.65543799930148,1.0,success,24
task_001,151.61959489186606,363.8870277404785,1.0,success,24
task_002,121.08333333333333,1.0,0.0,success,24
task_003,336.60578766465187,0.9999429265938414,1.0,success,24
task_004,250.33333333333334,1.0,0.0,success,24
task_005,248.21275202433267,1.2364271582781203,1.0,success,24
task_006,151.08333333333334,1.0,0.0,success,24
task_007,57.75,1.0,0.0,success,24
task_008,204.29201331546452,1.0000016968327858,0.0,success,24
task_009,201.125,1.0,0.0,success,24
