task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,gpt4o_no_context_nmae,gpt4o_no_context_da,gpt4o_with_context_nmae,gpt4o_with_context_da,best_baseline_nmae,best_baseline_nmae_model,best_baseline_da,best_baseline_da_model,best_llm_context_nmae,best_llm_context_nmae_model,best_llm_context_da,best_llm_context_da_model,best_llm_no_context_nmae,best_llm_no_context_da,llm_wins_nmae,llm_wins_da,llm_wins_both,llm_wins_either,context_helped_nmae,context_helped_da,llmp_wins_nmae,llmp_wins_da,gpt4o_wins_nmae,gpt4o_wins_da,best_model_nmae,best_model_da
task_000,159.65543799930148,1.0,1.014143252859225,0.0,2.2579256529629625,1.0,2.0001927037037035,1.0,1.0,0.0,1.0,0.0,1.014143252859225,ets,1.0,arima,1.0,gpt4o_with_context,1.0,llmp_with_context,1.0,1.0,1,0,0,1,0,0,0,0,1,0,context_helped,arima
task_001,363.8870277404785,1.0,3.3470625976425863,1.0,2711.5291666666662,1.0,2394.008333333333,1.0,1.0,0.0,1.0,0.0,3.3470625976425863,ets,1.0,arima,1.0,gpt4o_with_context,1.0,llmp_with_context,1.0,1.0,1,0,0,1,0,0,0,0,1,0,context_helped,arima
task_002,1.0,0.0,1.0000001845409987,1.0,0.99622843083276,1.0,1.002271155999083,0.4545454545454545,1.0,0.0,1.1617343427391604,0.8181818181818182,1.0,arima,1.0,ets,1.002271155999083,llmp_with_context,0.8181818181818182,gpt4o_with_context,0.99622843083276,1.0,0,0,0,0,0,0,0,0,0,0,llm_wins,ets
task_003,0.9999429265938414,1.0,0.999955527376858,1.0,1.1414837663489708,0.8571428571428571,1.042634539588233,0.3571428571428571,1.0,0.0,0.3549944300037133,0.7857142857142857,0.9999429265938414,arima,1.0,arima,0.3549944300037133,gpt4o_with_context,0.7857142857142857,gpt4o_with_context,1.0,0.8571428571428571,1,0,0,1,1,0,0,0,1,0,llmp_wins,arima
task_004,1.0,0.0,0.999998783964056,1.0,5.298397497780736,1.0,4.369050432756325,1.0,1.0,0.0,0.944906790945406,0.6153846153846154,0.999998783964056,ets,1.0,ets,0.944906790945406,gpt4o_with_context,1.0,llmp_with_context,1.0,1.0,1,0,0,1,1,0,0,0,1,0,llmp_wins,ets
task_005,1.2364271582781203,1.0,0.9999997578248746,1.0,3.941883679258337,1.0,6.056533371385084,1.0,1.0,0.0,0.743046907430469,0.9166666666666666,0.9999997578248746,ets,1.0,arima,0.743046907430469,gpt4o_with_context,1.0,llmp_with_context,1.0,1.0,1,0,0,1,1,0,0,0,1,0,llmp_wins,arima
task_006,1.0,0.0,1.0000069988891096,0.0,1.0027818523625665,1.0,1.0039257259606542,1.0,1.0,0.0,0.7203530060672917,1.0,1.0,arima,0.0,arima,0.7203530060672917,gpt4o_with_context,1.0,llmp_with_context,1.0,1.0,1,1,1,1,1,0,0,1,1,1,llmp_wins,llmp_no_context
task_007,1.0,0.0,1.000037320016261,1.0,1.0,0.0,1.001193677970178,0.875,1.183982683982684,0.5,1.183982683982684,0.5,1.0,arima,1.0,ets,1.001193677970178,llmp_with_context,0.875,llmp_with_context,1.0,0.5,0,0,0,0,0,1,0,0,0,0,llm_wins,ets
task_008,1.0000016968327858,0.0,1.00000197513057,0.0,1.0,0.0,1.0004079186212524,1.0,1.0,0.0,0.8572302671833572,0.8888888888888888,1.0000016968327858,arima,0.0,arima,0.8572302671833572,gpt4o_with_context,1.0,llmp_with_context,1.0,0.0,1,1,1,1,1,1,0,1,1,1,llmp_wins,llmp_with_context
task_009,1.0,0.0,1.0000024015051612,0.0,4.06355344934742,1.0,4.269092949381949,1.0,1.0,0.0,0.8170706442925213,0.5384615384615384,1.0,arima,0.0,arima,0.8170706442925213,gpt4o_with_context,1.0,llmp_with_context,1.0,1.0,1,1,1,1,1,0,0,1,1,1,llmp_wins,llmp_no_context
