task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,gpt4o_no_context_nmae,gpt4o_no_context_da,gpt4o_with_context_nmae,gpt4o_with_context_da,best_baseline_nmae,best_baseline_nmae_model,best_baseline_da,best_baseline_da_model,best_llm_context_nmae,best_llm_context_nmae_model,best_llm_context_da,best_llm_context_da_model,best_llm_no_context_nmae,best_llm_no_context_da,llm_wins_nmae,llm_wins_da,llm_wins_both,llm_wins_either,context_helped_nmae,context_helped_da,llmp_wins_nmae,llmp_wins_da,gpt4o_wins_nmae,gpt4o_wins_da,best_model_nmae,best_model_da
task_000,0.2696777325207647,0.7083333333333334,0.3882429593889522,0.7083333333333334,0.4079479210674872,0.5,0.3837534551205405,0.625,0.6741337165550546,0.25,0.6233711970213034,0.7916666666666666,0.2696777325207647,arima,0.7083333333333334,arima,0.3837534551205405,llmp_with_context,0.7916666666666666,gpt4o_with_context,0.4079479210674872,0.5,0,1,0,1,1,1,0,0,0,1,llm_wins,llm_wins
task_001,0.1969754567432236,0.125,0.1988254064460102,0.125,0.209826260601624,0.3333333333333333,0.2235875882898459,0.1666666666666666,0.2610344286244497,0.0833333333333333,0.193597928809044,0.8333333333333334,0.1969754567432236,arima,0.125,arima,0.193597928809044,gpt4o_with_context,0.8333333333333334,gpt4o_with_context,0.209826260601624,0.3333333333333333,1,1,1,1,1,1,0,1,1,1,llmp_wins,llm_wins
task_002,0.3486614858113773,0.4583333333333333,0.3109674686216698,0.4166666666666667,0.3059990216531119,0.5833333333333334,0.5261798114483999,0.5416666666666666,0.4125380347395273,0.4583333333333333,0.3381539427006234,0.4166666666666667,0.3109674686216698,ets,0.4583333333333333,arima,0.3381539427006234,gpt4o_with_context,0.5416666666666666,llmp_with_context,0.3059990216531119,0.5833333333333334,0,1,0,1,0,0,0,1,0,0,llm_wins,llm_wins
task_003,0.2636063031613748,0.2916666666666667,0.2547091973140622,0.7083333333333334,0.2516416793799474,0.7083333333333334,0.261390447931074,0.6666666666666666,0.3004186070799998,0.1666666666666666,0.2347361571436512,0.5416666666666666,0.2547091973140622,ets,0.7083333333333334,ets,0.2347361571436512,gpt4o_with_context,0.6666666666666666,llmp_with_context,0.2516416793799474,0.7083333333333334,1,0,0,1,1,0,0,0,1,0,llmp_wins,ets
task_004,0.386330392215413,0.75,0.5227154568061592,0.125,0.4822366176931336,0.875,0.5090034088988683,0.5833333333333334,0.5227244240403152,0.5,0.6383392747242195,0.75,0.386330392215413,arima,0.75,arima,0.5090034088988683,llmp_with_context,0.75,gpt4o_with_context,0.4822366176931336,0.875,0,0,0,0,0,0,0,0,0,0,llm_wins,llmp_no_context
task_005,0.2190815717825914,0.875,0.2905660902326513,0.4583333333333333,0.3026319018846572,0.4583333333333333,0.3270971752977489,0.4583333333333333,0.4256640915015602,0.4583333333333333,0.2228272751357906,0.8333333333333334,0.2190815717825914,arima,0.875,arima,0.2228272751357906,gpt4o_with_context,0.8333333333333334,gpt4o_with_context,0.3026319018846572,0.4583333333333333,0,0,0,0,1,1,0,0,0,0,llm_wins,context_helped
task_006,0.3075127302269289,0.9166666666666666,0.3485649949266888,0.0833333333333333,0.3259192365093545,0.9166666666666666,2.118203349233952,0.9166666666666666,0.3978419063804541,0.9166666666666666,0.572789763926346,0.9166666666666666,0.3075127302269289,arima,0.9166666666666666,arima,0.572789763926346,gpt4o_with_context,0.9166666666666666,llmp_with_context,0.3259192365093545,0.9166666666666666,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
task_007,0.3969960934013866,0.7083333333333334,0.3981867401109047,0.2916666666666667,0.3967965893045571,0.5833333333333334,0.3946446555859816,0.5,0.430991459918967,0.3333333333333333,0.5113032466538467,0.5416666666666666,0.3969960934013866,arima,0.7083333333333334,arima,0.3946446555859816,llmp_with_context,0.5416666666666666,gpt4o_with_context,0.3967965893045571,0.5833333333333334,1,0,0,1,1,0,1,0,0,0,gpt4o_wins,arima
task_008,0.344630725128017,0.625,0.5175601833129292,0.375,0.4981795683157338,0.5833333333333334,0.5155593371329982,0.625,0.5363129697761776,0.625,0.9198802126131882,0.375,0.344630725128017,arima,0.625,arima,0.5155593371329982,llmp_with_context,0.625,llmp_with_context,0.4981795683157338,0.625,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
task_009,0.4251567388466745,1.0,0.5664309659640997,0.0,0.4084487860967071,1.0,0.3929527606741838,1.0,0.5487681049562432,1.0,0.4997792413128978,1.0,0.4251567388466745,arima,1.0,arima,0.3929527606741838,llmp_with_context,1.0,llmp_with_context,0.4084487860967071,1.0,1,0,0,1,1,0,1,0,0,0,gpt4o_wins,arima
