task_id,mae,nmae,da,status,horizon
task_000,0.2895071281132609,0.9968329151341726,0.78125,success,32
task_001,0.13488223986646541,0.36479316337717876,0.96875,success,32
task_002,0.43576619537444566,0.8517923855688003,0.125,success,32
task_003,0.3344009143709812,0.7280875786953913,0.0,success,32
task_004,0.16420227143530214,0.3048039345949362,0.9375,success,32
task_005,0.31036833226625316,0.9848648543413125,0.65625,success,32
task_006,0.8417785042367321,0.5312085297999862,0.59375,success,32
task_007,0.17206915875916406,0.9992428275463345,0.46875,success,32
task_008,0.391513787932519,1.0471314920697097,1.0,success,32
task_009,0.24723768341266367,0.20502178196655862,0.90625,success,32
