task_id,mae,nmae,da,status,horizon
task_000,0.35634692497153575,1.226976158872005,0.5,success,32
task_001,52.5469438239689,142.1148246227655,0.625,success,32
task_002,90.988854571759,177.8559565164385,0.875,success,32
task_003,0.3356440900561732,0.7307943319835126,0.0,success,32
task_004,27.05064673827289,50.21333436554773,0.9375,success,32
task_005,0.4152160624312416,1.3175690440470298,0.65625,success,32
task_006,0.30137897596026475,0.19018670817407135,0.40625,success,32
task_007,0.17163581353544008,0.9967262980893403,0.53125,success,32
task_008,0.17299381895833482,0.46268428174974197,1.0,success,32
task_009,0.2989156291903049,0.24787570449753032,0.09375,success,32
