task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,gpt4o_mini_no_context_nmae,gpt4o_mini_no_context_da,gpt4o_mini_with_context_nmae,gpt4o_mini_with_context_da,arima_score,ets_score,llmp_no_context_score,llmp_with_context_score,gpt4o_mini_no_context_score,gpt4o_mini_with_context_score,selected_model,llmp_context_gain_nmae,gpt4o_context_gain_nmae,llmp_context_gain_da,gpt4o_context_gain_da,llmp_context_helped,gpt4o_context_helped,any_context_helped,llmp_context_beat_arima,gpt4o_context_beat_arima
task_000,0.3537657508614383,0.7222222222222222,0.3505101048258062,0.6388888888888888,0.6877927292110875,0.6388888888888888,0.8269432357261287,0.6388888888888888,1.862472567666423,0.6619718309859155,0.570592538405267,0.6901408450704225,0.9991386965971323,0.6000000000000001,0.3107695772415917,0.2739563599997798,0.11079812206572792,0.5877850781587652,arima,-0.13915050651504124,1.291880029261156,0.0,0.028169014084507005,0,1,1,0,0
task_001,0.4128034683888804,0.6805555555555556,0.3998068104979311,0.5833333333333334,1.4519707798250512,0.5833333333333334,1.755256914200633,0.5833333333333334,4.260801256873527,0.7285714285714285,2.9340141398271795,0.6857142857142857,0.8664131058008422,0.6000000000000001,0.29099554698248165,0.2595750268457295,0.4,0.419422693610649,arima,-0.3032861343755817,1.3267871170463472,0.0,-0.042857142857142816,0,1,1,0,0
task_002,0.4117536050914472,0.8260869565217391,0.5619527911149451,0.7536231884057971,0.8801618422865012,0.7536231884057971,0.9758309917355372,0.7536231884057971,0.8320338605480063,0.5352112676056338,0.8382713299175762,0.6901408450704225,1.0,0.7938412460112827,0.36819202928610795,0.30035087719298253,0.10196978967232458,0.31059929100903405,arima,-0.09566914944903604,-0.006237469369569926,0.0,0.15492957746478875,0,0,0,0,0
task_003,0.5799780699193802,0.4117647058823529,0.4976814533212881,0.3970588235294117,0.6246944683908047,0.3970588235294117,0.6836348778735631,0.3970588235294117,2.346308724832214,0.6857142857142857,0.8087248322147651,0.6571428571428571,0.6025713808867033,0.6000000000000001,0.3725173339099978,0.3597639984180714,0.4,0.6931050071403088,gpt4o_mini_with_context,-0.05894040948275847,1.5375838926174488,0.0,-0.02857142857142858,0,1,1,0,0
task_004,0.4461732421664726,0.8028169014084507,0.5848820331446617,0.8028169014084507,0.4324665077900779,0.8028169014084507,0.5032750410004102,0.8028169014084507,0.7015677491601342,0.380281690140845,0.8001119820828666,0.5070422535211268,0.9850870087246293,0.8341711937047247,0.8,0.7229599838305735,0.10721658751523529,0.12000000000000002,arima,-0.07080853321033231,-0.0985442329227324,0.0,0.12676056338028174,0,0,0,0,0
task_005,0.5172581293056072,0.8055555555555556,0.6709648142699078,0.8055555555555556,0.5328280589638719,0.8055555555555556,0.551080853783231,0.8055555555555556,2.826017302146748,0.7571428571428571,0.6036526754245434,0.6714285714285714,1.0,0.9733698192912603,0.7973024592878426,0.7941401035022633,0.25562130177514786,0.3850318652312931,arima,-0.018252794819359153,2.2223646267222046,0.0,-0.08571428571428574,0,1,1,0,0
task_006,0.6819840958293097,0.7746478873239436,0.7307767715291899,0.7746478873239436,0.6503983639639639,0.7746478873239436,0.6531895135135135,0.7746478873239436,,,,,0.4428148413380075,0.2,0.4,0.3861099534857809,,,arima,-0.002791149549549621,,0.0,,0,0,0,1,0
task_007,0.4008716102436665,0.7777777777777778,0.534302424396517,0.7638888888888888,0.587385058871295,0.7638888888888888,0.5693906496142915,0.7638888888888888,4.7415881561238225,0.7323943661971831,1.2577388963660836,0.6338028169014085,1.0,0.949117302649066,0.7442257015584433,0.7458838986848216,0.2739130434782609,0.32103909324042973,arima,0.017994409257003463,3.483849259757739,0.0,-0.09859154929577463,1,1,1,0,0
task_008,0.6420259102163087,0.7971014492753623,0.7451733769128622,0.7971014492753623,0.6534403393541324,0.7971014492753623,0.6939133853311439,0.7971014492753623,2.4509222661396572,0.5416666666666666,2.4509222661396572,0.5416666666666666,1.0,0.9771910720348813,0.7974759351799353,0.7885261585176119,0.0,0.0,arima,-0.04047304597701151,0.0,0.0,0.0,0,0,0,0,0
task_009,,,,,,,,,1.1253175275190517,0.4225352112676056,1.750211685012701,0.7323943661971831,,,,,,,arima,,-0.6248941574936493,,0.3098591549295775,0,0,0,0,0
