task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,gpt4o_no_context_nmae,gpt4o_no_context_da,gpt4o_with_context_nmae,gpt4o_with_context_da,best_baseline_nmae,best_baseline_nmae_model,best_baseline_da,best_baseline_da_model,best_llm_context_nmae,best_llm_context_nmae_model,best_llm_context_da,best_llm_context_da_model,best_llm_no_context_nmae,best_llm_no_context_da,llm_wins_nmae,llm_wins_da,llm_wins_both,llm_wins_either,context_helped_nmae,context_helped_da,llmp_wins_nmae,llmp_wins_da,gpt4o_wins_nmae,gpt4o_wins_da,best_model_nmae,best_model_da
task_000,0.6473270599595649,0.4166666666666667,2.5846852836269294,0.4166666666666667,0.5698793201133145,0.625,0.5317706798866858,0.7083333333333334,2.077777777777778,0.7777777777777778,1.6333333333333335,0.8333333333333334,0.6473270599595649,arima,0.4166666666666667,arima,0.5317706798866858,llmp_with_context,0.8333333333333334,gpt4o_with_context,0.5698793201133145,0.7777777777777778,1,1,1,1,1,1,1,1,0,1,gpt4o_wins,llm_wins
task_001,0.8643819888620927,0.3333333333333333,0.7806397404895636,0.7083333333333334,0.6036643888354187,0.7083333333333334,0.7567769008662175,0.7083333333333334,0.4147909967845659,0.0,0.4147909967845659,0.0,0.7806397404895636,ets,0.7083333333333334,ets,0.4147909967845659,gpt4o_with_context,0.7083333333333334,llmp_with_context,0.4147909967845659,0.7083333333333334,1,0,0,1,0,0,1,0,1,0,context_helped,ets
task_002,0.225027732182191,0.6666666666666666,0.2354463163927566,0.6666666666666666,0.2530336291913215,0.6666666666666666,0.2187962524654833,0.6666666666666666,0.6495327102803737,0.625,0.8551401869158877,0.0833333333333333,0.225027732182191,arima,0.6666666666666666,arima,0.2187962524654833,llmp_with_context,0.6666666666666666,llmp_with_context,0.2530336291913215,0.6666666666666666,1,0,0,1,1,0,1,0,0,0,gpt4o_wins,arima
task_003,0.1673228346456693,0.0,0.1740909629087688,0.1363636363636363,0.1383138451443569,0.8636363636363636,0.1331909448818897,0.8636363636363636,0.4482758620689655,1.0,0.3793103448275862,1.0,0.1673228346456693,arima,0.1363636363636363,ets,0.1331909448818897,llmp_with_context,1.0,gpt4o_with_context,0.1383138451443569,1.0,1,1,1,1,1,0,1,1,0,1,gpt4o_wins,gpt4o_no_context
task_004,0.6269427201851364,1.0,1.0180180046348544,1.0,0.6790486255486254,1.0,0.6896855624855625,1.0,0.6258234519104084,0.391304347826087,0.7391304347826086,0.391304347826087,0.6269427201851364,arima,1.0,arima,0.6896855624855625,llmp_with_context,1.0,llmp_with_context,0.6258234519104084,1.0,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
task_005,0.6190121480337443,0.0,0.5160906411533388,0.0,0.5749291039426523,0.0416666666666666,0.5447286021505376,0.0416666666666666,1.7235494880546076,0.1666666666666666,0.7047781569965871,0.8333333333333334,0.5160906411533388,ets,0.0,arima,0.5447286021505376,llmp_with_context,0.8333333333333334,gpt4o_with_context,0.5749291039426523,0.1666666666666666,0,1,0,1,1,1,0,1,0,1,llm_wins,llm_wins
task_006,0.2610260008372853,0.6956521739130435,0.2898438334835393,0.3043478260869565,0.5621440522875817,0.3043478260869565,0.5321953812636165,0.3043478260869565,1.0098806093042405,0.375,1.1992589543021823,0.375,0.2610260008372853,arima,0.6956521739130435,arima,0.5321953812636165,llmp_with_context,0.375,gpt4o_with_context,0.5621440522875817,0.375,0,0,0,0,1,0,0,0,0,0,llm_wins,arima
task_007,0.2329667603890008,0.7083333333333334,0.2611132906009829,0.2916666666666667,0.266496048298573,0.2916666666666667,0.2265106110501281,0.7083333333333334,0.2901960784313726,0.875,0.2988235294117647,0.7083333333333334,0.2329667603890008,arima,0.7083333333333334,arima,0.2265106110501281,llmp_with_context,0.7083333333333334,llmp_with_context,0.266496048298573,0.875,1,0,0,1,1,0,1,0,0,0,gpt4o_wins,gpt4o_no_context
task_008,3.988058179595764,0.0833333333333333,6.663480676683139,0.0833333333333333,2.951302301410542,0.9166666666666666,2.9325319970304378,0.9166666666666666,0.5417721518987342,0.6521739130434783,0.4987341772151899,0.0869565217391304,3.988058179595764,arima,0.0833333333333333,arima,0.4987341772151899,gpt4o_with_context,0.9166666666666666,llmp_with_context,0.5417721518987342,0.9166666666666666,1,1,1,1,1,0,1,1,1,1,gpt4o_with_context,llm_wins
task_009,0.2083468169492608,0.3478260869565217,0.2008465553377267,0.6086956521739131,0.1952001288968825,0.6086956521739131,0.1953946942446043,0.6086956521739131,0.7482014388489209,0.8888888888888888,0.7841726618705035,0.7777777777777778,0.2008465553377267,ets,0.6086956521739131,ets,0.1953946942446043,llmp_with_context,0.7777777777777778,gpt4o_with_context,0.1952001288968825,0.8888888888888888,1,1,1,1,0,0,1,0,0,1,context_helped,llm_wins
