task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,gpt4o_no_context_nmae,gpt4o_no_context_da,gpt4o_with_context_nmae,gpt4o_with_context_da,best_baseline_nmae,best_baseline_nmae_model,best_baseline_da,best_baseline_da_model,best_llm_context_nmae,best_llm_context_nmae_model,best_llm_context_da,best_llm_context_da_model,best_llm_no_context_nmae,best_llm_no_context_da,llm_wins_nmae,llm_wins_da,llm_wins_both,llm_wins_either,context_helped_nmae,context_helped_da,llmp_wins_nmae,llmp_wins_da,gpt4o_wins_nmae,gpt4o_wins_da,best_model_nmae,best_model_da
task_000,0.1567693295598862,1.0,0.5199767916281361,0.0,0.2798250573266608,1.0,0.264485461466063,1.0,0.2872284230219094,0.9583333333333334,0.7661625832540423,1.0,0.1567693295598862,arima,1.0,arima,0.264485461466063,llmp_with_context,1.0,llmp_with_context,0.2798250573266608,1.0,0,0,0,0,1,0,0,0,0,0,llm_wins,arima
task_001,0.1572810486077356,0.0,0.1586582224004243,0.25,0.1249917186215082,0.8333333333333334,0.1481309931143996,0.7916666666666666,0.1450964352029029,0.7916666666666666,1.3448764567842295,0.0416666666666666,0.1572810486077356,arima,0.25,ets,0.1481309931143996,llmp_with_context,0.7916666666666666,llmp_with_context,0.1249917186215082,0.8333333333333334,1,1,1,1,0,0,1,1,0,0,context_helped,llm_wins
task_002,0.3737414147267265,0.625,0.4594050158124676,0.2083333333333333,0.8291464561477239,0.375,0.762258706912272,0.4166666666666667,0.5437410104957557,0.1666666666666666,0.8220905284590646,0.6666666666666666,0.3737414147267265,arima,0.625,arima,0.762258706912272,llmp_with_context,0.6666666666666666,gpt4o_with_context,0.5437410104957557,0.375,0,1,0,1,0,1,0,0,0,1,llm_wins,llm_wins
task_003,0.2451019606230829,0.6666666666666666,0.2502359807836101,0.375,0.2444039865377825,0.5416666666666666,0.2876349680239503,0.4166666666666667,0.3226670465101125,0.625,0.5833993462853887,0.375,0.2451019606230829,arima,0.6666666666666666,arima,0.2876349680239503,llmp_with_context,0.4166666666666667,llmp_with_context,0.2444039865377825,0.625,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
task_004,0.2953088444841518,0.9583333333333334,0.4708980416352705,0.0416666666666666,0.4297405369505555,0.9583333333333334,0.428818723633882,0.9583333333333334,0.3241767120578278,0.9583333333333334,0.4590389671522855,0.9583333333333334,0.2953088444841518,arima,0.9583333333333334,arima,0.428818723633882,llmp_with_context,0.9583333333333334,llmp_with_context,0.3241767120578278,0.9583333333333334,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
task_005,0.2460485389482596,0.5,0.2375797258195471,0.5,0.2680216483940188,0.6666666666666666,0.2406425363256054,0.6666666666666666,0.3505467751031368,0.2916666666666667,0.8965045145954559,0.5,0.2375797258195471,ets,0.5,arima,0.2406425363256054,llmp_with_context,0.6666666666666666,llmp_with_context,0.2680216483940188,0.6666666666666666,0,1,0,1,1,0,0,1,0,0,llm_wins,llm_wins
task_006,0.4782475784814951,0.4090909090909091,0.459029463269735,0.5909090909090909,0.4981515661524077,0.4090909090909091,0.5007685834502105,0.4090909090909091,0.4333800841514726,0.7727272727272727,0.4333800841514726,0.7727272727272727,0.459029463269735,ets,0.5909090909090909,ets,0.4333800841514726,gpt4o_with_context,0.7727272727272727,gpt4o_with_context,0.4333800841514726,0.7727272727272727,1,1,1,1,0,0,0,0,1,1,context_helped,llm_wins
task_007,0.2640036852859499,0.7916666666666666,0.4075268577699134,0.0833333333333333,0.4028846071764735,0.375,0.43643157684281,0.0833333333333333,0.4653835008053483,0.0833333333333333,0.1894489260899159,0.9166666666666666,0.2640036852859499,arima,0.7916666666666666,arima,0.1894489260899159,gpt4o_with_context,0.9166666666666666,gpt4o_with_context,0.4028846071764735,0.375,1,1,1,1,1,1,0,0,1,1,llmp_wins,llm_wins
task_008,0.3201046871804132,0.75,0.5759847930565352,0.25,0.5649666138041128,0.5833333333333334,0.5563957190173416,0.625,0.6116844418095907,0.7083333333333334,0.1430457894627508,0.875,0.3201046871804132,arima,0.75,arima,0.1430457894627508,gpt4o_with_context,0.875,gpt4o_with_context,0.5649666138041128,0.7083333333333334,1,1,1,1,1,1,0,0,1,1,llmp_wins,llm_wins
task_009,0.2941954636452556,0.8695652173913043,0.4207834556436995,0.1304347826086956,0.2761546609583977,0.8695652173913043,0.2728550373342813,0.8695652173913043,0.4026211755941838,0.8695652173913043,0.3335682335187996,0.8260869565217391,0.2941954636452556,arima,0.8695652173913043,arima,0.2728550373342813,llmp_with_context,0.8695652173913043,llmp_with_context,0.2761546609583977,0.8695652173913043,1,0,0,1,1,0,1,0,0,0,gpt4o_wins,arima
