task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,gpt4o_no_context_nmae,gpt4o_no_context_da,gpt4o_with_context_nmae,gpt4o_with_context_da,best_baseline_nmae,best_baseline_nmae_model,best_baseline_da,best_baseline_da_model,best_llm_context_nmae,best_llm_context_nmae_model,best_llm_context_da,best_llm_context_da_model,best_llm_no_context_nmae,best_llm_no_context_da,llm_wins_nmae,llm_wins_da,llm_wins_both,llm_wins_either,context_helped_nmae,context_helped_da,llmp_wins_nmae,llmp_wins_da,gpt4o_wins_nmae,gpt4o_wins_da,best_model_nmae,best_model_da
task_000,0.3903822877997588,0.3846153846153846,0.2552068393259096,0.3846153846153846,0.6354481922272918,0.3846153846153846,0.583448483548753,0.3846153846153846,0.492700842270004,0.3846153846153846,0.3874371023945659,0.5384615384615384,0.2552068393259096,ets,0.3846153846153846,arima,0.3874371023945659,gpt4o_with_context,0.5384615384615384,gpt4o_with_context,0.492700842270004,0.3846153846153846,0,1,0,1,1,1,0,0,0,1,llm_wins,llm_wins
task_001,0.4283763016348404,1.0,0.439681938765008,1.0,0.4083602900028996,1.0,0.4716693282535026,1.0,0.2695157678979614,1.0,0.3109496524672023,1.0,0.4283763016348404,arima,1.0,arima,0.3109496524672023,gpt4o_with_context,1.0,llmp_with_context,0.2695157678979614,1.0,1,0,0,1,0,0,0,0,1,0,context_helped,arima
task_002,0.2440133531371603,1.0,0.2176088992698431,1.0,0.2091059859806084,1.0,0.2264192437146128,1.0,0.2655004455349644,0.925925925925926,0.2525468821243064,1.0,0.2176088992698431,ets,1.0,arima,0.2264192437146128,llmp_with_context,1.0,llmp_with_context,0.2091059859806084,1.0,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
task_003,1.6749794666699358,1.0,1.6898384366364276,1.0,2.570761077575895,0.0,2.453100833406752,0.8888888888888888,1.8576241854418531,0.7777777777777778,0.2800279542648429,1.0,1.6749794666699358,arima,1.0,arima,0.2800279542648429,gpt4o_with_context,1.0,gpt4o_with_context,1.8576241854418531,0.7777777777777778,1,0,0,1,1,1,0,0,1,0,llmp_wins,arima
task_004,0.2898171886540622,0.1666666666666666,0.2337124025754647,0.0833333333333333,0.2146627242861346,0.8333333333333334,0.4465748957189955,0.25,0.1825234372473328,0.75,0.3650938540805633,0.1666666666666666,0.2337124025754647,ets,0.1666666666666666,arima,0.3650938540805633,gpt4o_with_context,0.25,llmp_with_context,0.1825234372473328,0.8333333333333334,0,1,0,1,0,0,0,1,0,0,llm_wins,llm_wins
task_005,0.33974698765357,0.4285714285714285,0.3681436679746735,0.4285714285714285,0.2641605907803088,0.7142857142857143,0.3002073314185906,0.4285714285714285,0.2333817374041662,0.5714285714285714,0.4418927127175523,0.1428571428571428,0.33974698765357,arima,0.4285714285714285,arima,0.3002073314185906,llmp_with_context,0.4285714285714285,llmp_with_context,0.2333817374041662,0.7142857142857143,1,0,0,1,0,0,1,0,0,0,context_helped,llmp_no_context
task_006,0.2864414717466578,0.5714285714285714,0.2738146104041395,0.4285714285714285,0.2429253961466209,0.5714285714285714,0.2630832401805698,0.5714285714285714,0.1979878799056686,0.5714285714285714,0.246755366323455,0.4285714285714285,0.2738146104041395,ets,0.5714285714285714,arima,0.246755366323455,gpt4o_with_context,0.5714285714285714,llmp_with_context,0.1979878799056686,0.5714285714285714,1,0,0,1,0,0,1,0,1,0,context_helped,arima
task_007,1.9515738816625912,0.2941176470588235,1.2535109159452464,0.7058823529411765,2.088327556487964,0.2941176470588235,3.117131245609514,0.2941176470588235,2.303150989361209,0.2941176470588235,0.7352370319869286,0.7058823529411765,1.2535109159452464,ets,0.7058823529411765,ets,0.7352370319869286,gpt4o_with_context,0.7058823529411765,gpt4o_with_context,2.088327556487964,0.2941176470588235,1,0,0,1,1,1,0,0,1,0,llmp_wins,context_helped
task_008,0.253502530121496,0.9130434782608696,0.2472901408885925,0.9565217391304348,0.1505816195643142,0.9565217391304348,0.1534711114078212,0.9565217391304348,0.2418285617453938,0.9565217391304348,0.2548741213595007,0.8260869565217391,0.2472901408885925,ets,0.9565217391304348,ets,0.1534711114078212,llmp_with_context,0.9565217391304348,llmp_with_context,0.1505816195643142,0.9565217391304348,1,0,0,1,0,0,1,0,0,0,context_helped,ets
task_009,4.065225352278758,0.0,3.611652477560344,0.0,3.830554530804202,0.0,3.948518094226094,0.0,3.96583967723812,0.3333333333333333,0.1799389968233311,1.0,3.611652477560344,ets,0.0,arima,0.1799389968233311,gpt4o_with_context,1.0,gpt4o_with_context,3.830554530804202,0.3333333333333333,1,1,1,1,1,1,0,0,1,1,llmp_wins,gpt4o_with_context
