task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,gpt4o_no_context_nmae,gpt4o_no_context_da,gpt4o_with_context_nmae,gpt4o_with_context_da,best_baseline_nmae,best_baseline_nmae_model,best_baseline_da,best_baseline_da_model,best_llm_context_nmae,best_llm_context_nmae_model,best_llm_context_da,best_llm_context_da_model,best_llm_no_context_nmae,best_llm_no_context_da,llm_wins_nmae,llm_wins_da,llm_wins_both,llm_wins_either,context_helped_nmae,context_helped_da,llmp_wins_nmae,llmp_wins_da,gpt4o_wins_nmae,gpt4o_wins_da,best_model_nmae,best_model_da
task_000,0.6032090040158357,0.8333333333333334,0.800386929533524,0.8333333333333334,0.7303069025043865,0.8333333333333334,0.7021019970414413,0.8333333333333334,1.2158686572788655,0.125,0.7099439000813478,0.8333333333333334,0.6032090040158357,arima,0.8333333333333334,arima,0.7021019970414413,llmp_with_context,0.8333333333333334,llmp_with_context,0.7303069025043865,0.8333333333333334,0,0,0,0,1,0,0,0,0,0,llm_wins,arima
task_001,0.1613072668158301,0.0833333333333333,0.1633510304211712,0.0833333333333333,0.2106721512538998,0.0833333333333333,0.2020953428975231,0.0833333333333333,0.3243986639781342,0.0833333333333333,1.419249780894469,0.9166666666666666,0.1613072668158301,arima,0.0833333333333333,arima,0.2020953428975231,llmp_with_context,0.9166666666666666,gpt4o_with_context,0.2106721512538998,0.0833333333333333,0,1,0,1,1,1,0,0,0,1,llm_wins,llm_wins
task_002,0.3161111833468805,0.5416666666666666,0.2987773074403562,0.4583333333333333,0.7924930010322102,0.5416666666666666,0.7436653971151889,0.5,0.317052155222276,0.5,1.5522673738112296,0.5416666666666666,0.2987773074403562,ets,0.5416666666666666,arima,0.7436653971151889,llmp_with_context,0.5416666666666666,gpt4o_with_context,0.317052155222276,0.5416666666666666,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
task_003,0.140211561433839,0.4583333333333333,0.1278691167397518,0.75,0.3825392189731462,0.6666666666666666,0.729369642170161,0.25,0.1498846510675735,0.75,0.0821480658532261,0.875,0.1278691167397518,ets,0.75,ets,0.0821480658532261,gpt4o_with_context,0.875,gpt4o_with_context,0.1498846510675735,0.75,1,1,1,1,1,1,0,0,1,1,llmp_wins,llm_wins
task_004,0.3289624881513382,0.7916666666666666,0.5512424169239203,0.0833333333333333,0.5143696631686447,0.7916666666666666,0.5482841273752916,0.4583333333333333,0.5524350179001326,0.4166666666666667,1.5283386305771092,0.9166666666666666,0.3289624881513382,arima,0.7916666666666666,arima,0.5482841273752916,llmp_with_context,0.9166666666666666,gpt4o_with_context,0.5143696631686447,0.7916666666666666,0,1,0,1,0,1,0,0,0,1,llm_wins,llm_wins
task_005,0.2320996889956503,0.75,0.3236281321723598,0.2916666666666667,0.9359416831826288,0.6666666666666666,0.3382741785154874,0.5833333333333334,0.358089514960427,0.5833333333333334,0.3056070981073542,0.7916666666666666,0.2320996889956503,arima,0.75,arima,0.3056070981073542,gpt4o_with_context,0.7916666666666666,gpt4o_with_context,0.358089514960427,0.6666666666666666,0,1,0,1,1,1,0,0,0,1,llm_wins,llm_wins
task_006,1.3995265508973662,0.15,1.3754116769859963,0.85,1.4819859659386867,0.15,1.5745398297342306,0.15,1.4010988720719202,0.1052631578947368,1.913435439204093,0.8421052631578947,1.3754116769859963,ets,0.85,ets,1.5745398297342306,llmp_with_context,0.8421052631578947,gpt4o_with_context,1.4010988720719202,0.15,0,0,0,0,0,1,0,0,0,0,llm_wins,context_helped
task_007,0.1667823078198651,0.875,0.3341248287194311,0.125,0.3361516447268311,0.4583333333333333,0.3163542311512401,0.5833333333333334,0.4049971464428831,0.125,1.623614182765387,0.875,0.1667823078198651,arima,0.875,arima,0.3163542311512401,llmp_with_context,0.875,gpt4o_with_context,0.3361516447268311,0.4583333333333333,0,0,0,0,1,1,0,0,0,0,llm_wins,context_helped
task_008,0.4149971548651498,0.6666666666666666,0.4442266843968328,0.3333333333333333,0.5580071275142221,0.2916666666666667,0.440155897151208,0.5833333333333334,0.573235624896809,0.2916666666666667,0.6946927400118612,0.4583333333333333,0.4149971548651498,arima,0.6666666666666666,arima,0.440155897151208,llmp_with_context,0.5833333333333334,llmp_with_context,0.5580071275142221,0.2916666666666667,0,0,0,0,1,1,0,0,0,0,llm_wins,context_helped
task_009,0.325354287415365,0.9166666666666666,0.4093397287193784,0.0833333333333333,4.428946557858787,0.9166666666666666,0.2837682302222633,0.9166666666666666,0.3864786326651523,0.9166666666666666,0.885084021178622,0.0833333333333333,0.325354287415365,arima,0.9166666666666666,arima,0.2837682302222633,llmp_with_context,0.9166666666666666,llmp_with_context,0.3864786326651523,0.9166666666666666,1,0,0,1,1,0,1,0,0,0,gpt4o_wins,arima
