task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,gpt4o_no_context_nmae,gpt4o_no_context_da,gpt4o_with_context_nmae,gpt4o_with_context_da,best_baseline_nmae,best_baseline_nmae_model,best_baseline_da,best_baseline_da_model,best_llm_context_nmae,best_llm_context_nmae_model,best_llm_context_da,best_llm_context_da_model,best_llm_no_context_nmae,best_llm_no_context_da,llm_wins_nmae,llm_wins_da,llm_wins_both,llm_wins_either,context_helped_nmae,context_helped_da,llmp_wins_nmae,llmp_wins_da,gpt4o_wins_nmae,gpt4o_wins_da,best_model_nmae,best_model_da
task_000,0.4532931421690559,0.782608695652174,3.010230318221023,0.2608695652173913,0.672678773204197,0.7391304347826086,0.6080862126715093,0.7391304347826086,1.5270851246775583,0.4583333333333333,1.4247635425623388,0.5416666666666666,0.4532931421690559,arima,0.782608695652174,arima,0.6080862126715093,llmp_with_context,0.7391304347826086,llmp_with_context,0.672678773204197,0.7391304347826086,0,0,0,0,1,0,0,0,0,0,llm_wins,arima
task_001,0.6803238882306634,0.7916666666666666,0.8714355888833945,0.2083333333333333,1.3034687140115164,0.25,1.2929186820217533,0.2083333333333333,0.9655370476737508,0.3333333333333333,0.9655370476737508,0.3333333333333333,0.6803238882306634,arima,0.7916666666666666,arima,0.9655370476737508,gpt4o_with_context,0.3333333333333333,gpt4o_with_context,0.9655370476737508,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
task_002,0.5343152216912153,1.0,0.9564782619142932,0.0,0.9798169585253458,0.0833333333333333,0.9894594777265748,0.0416666666666666,0.8749999999999999,0.4583333333333333,0.78375,0.8333333333333334,0.5343152216912153,arima,1.0,arima,0.78375,gpt4o_with_context,0.8333333333333334,gpt4o_with_context,0.8749999999999999,0.4583333333333333,0,0,0,0,1,1,0,0,0,0,llm_wins,arima
task_003,0.5581755964099773,0.7916666666666666,0.6010132433822966,0.625,0.5770744878957169,0.625,0.5801905535804976,0.625,0.6226700251889168,0.9166666666666666,0.7904282115869018,0.625,0.5581755964099773,arima,0.7916666666666666,arima,0.5801905535804976,llmp_with_context,0.625,llmp_with_context,0.5770744878957169,0.9166666666666666,0,0,0,0,0,0,0,0,0,0,llm_wins,gpt4o_no_context
task_004,0.9918505427045334,0.4583333333333333,0.912528530900524,0.4583333333333333,1.259447697974217,0.4583333333333333,1.2826887661141804,0.4583333333333333,1.2004830917874394,0.0869565217391304,1.4033816425120769,0.4347826086956521,0.912528530900524,ets,0.4583333333333333,arima,1.2826887661141804,llmp_with_context,0.4583333333333333,llmp_with_context,1.2004830917874394,0.4583333333333333,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
task_005,0.4492207998634502,0.75,0.679431853509894,0.75,0.5880820455113778,0.75,0.6061031007751938,0.75,1.7457865168539326,0.0416666666666666,1.0842696629213484,0.6666666666666666,0.4492207998634502,arima,0.75,arima,0.6061031007751938,llmp_with_context,0.75,llmp_with_context,0.5880820455113778,0.75,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
task_006,0.4700922730974777,0.8333333333333334,0.6169765713219778,0.8333333333333334,0.5777553610206299,0.8333333333333334,0.708569706840391,0.8333333333333334,0.2642595499738356,0.9166666666666666,0.2642595499738356,0.9166666666666666,0.4700922730974777,arima,0.8333333333333334,arima,0.2642595499738356,gpt4o_with_context,0.9166666666666666,gpt4o_with_context,0.2642595499738356,0.9166666666666666,1,1,1,1,0,0,0,0,1,1,context_helped,llm_wins
task_007,0.6559860439413544,0.5833333333333334,0.6542138289519381,0.7083333333333334,0.6110207552295572,0.7083333333333334,0.6348698994838359,0.7083333333333334,1.1624365482233503,0.3043478260869565,1.2233502538071066,0.3043478260869565,0.6542138289519381,ets,0.7083333333333334,ets,0.6348698994838359,llmp_with_context,0.7083333333333334,llmp_with_context,0.6110207552295572,0.7083333333333334,1,0,0,1,0,0,1,0,0,0,context_helped,ets
task_008,0.4913485346915204,0.9166666666666666,0.7399076522400374,0.0833333333333333,0.5504652777777778,0.9166666666666666,0.5024882337526205,0.9166666666666666,0.9055944055944056,0.7272727272727273,0.8103146853146854,0.9090909090909092,0.4913485346915204,arima,0.9166666666666666,arima,0.5024882337526205,llmp_with_context,0.9166666666666666,llmp_with_context,0.5504652777777778,0.9166666666666666,0,0,0,0,1,0,0,0,0,0,llm_wins,arima
task_009,0.5635736201072111,0.782608695652174,0.4478562884748662,0.782608695652174,0.730065003615329,0.782608695652174,0.7356983007953725,0.782608695652174,1.218390804597701,0.5217391304347826,1.159642401021711,0.5217391304347826,0.4478562884748662,ets,0.782608695652174,arima,0.7356983007953725,llmp_with_context,0.782608695652174,llmp_with_context,0.730065003615329,0.782608695652174,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
