task_id,mae,nmae,da,status,horizon
task_000,4.630272222222223,0.672678773204197,0.7391304347826086,success,24
task_001,2.829613333333333,1.3034687140115164,0.25,success,24
task_002,4.429589166666667,0.9798169585253458,0.08333333333333333,success,24
task_003,4.734415277777778,0.5770744878957169,0.625,success,24
task_004,0.9498334722222221,1.259447697974217,0.4583333333333333,success,24
task_005,3.266305694444444,0.5880820455113778,0.75,success,24
task_006,2.9561815972222223,0.5777553610206299,0.8333333333333334,success,24
task_007,3.123843611111111,0.6110207552295572,0.7083333333333334,success,24
task_008,2.9174659722222223,0.5504652777777778,0.9166666666666666,success,24
task_009,2.8046663888888888,0.730065003615329,0.782608695652174,success,24
