task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,gpt4o_no_context_nmae,gpt4o_no_context_da,gpt4o_with_context_nmae,gpt4o_with_context_da,best_baseline_nmae,best_baseline_nmae_model,best_baseline_da,best_baseline_da_model,best_llm_context_nmae,best_llm_context_nmae_model,best_llm_context_da,best_llm_context_da_model,best_llm_no_context_nmae,best_llm_no_context_da,llm_wins_nmae,llm_wins_da,llm_wins_both,llm_wins_either,context_helped_nmae,context_helped_da,llmp_wins_nmae,llmp_wins_da,gpt4o_wins_nmae,gpt4o_wins_da,best_model_nmae,best_model_da
task_000,1.8300746250342184,0.2238805970149253,2.800582091211399,0.2238805970149253,6.974661696487741,0.2238805970149253,6.773812458581842,0.2238805970149253,6.789264413518887,0.2238805970149253,6.789264413518887,0.2238805970149253,1.8300746250342184,arima,0.2238805970149253,arima,6.773812458581842,llmp_with_context,0.2238805970149253,llmp_with_context,6.789264413518887,0.2238805970149253,0,0,0,0,1,0,0,0,0,0,llm_wins,arima
task_001,2.9621515657321216,0.9375,5.235555315800155,0.046875,7.635775413711585,0.0625,5.918993065405831,0.046875,0.6664775413711584,0.90625,1.071678486997636,0.84375,2.9621515657321216,arima,0.9375,arima,1.071678486997636,gpt4o_with_context,0.84375,gpt4o_with_context,0.6664775413711584,0.90625,1,0,0,1,0,0,0,0,1,0,context_helped,arima
task_002,1.2967749139918654,1.0,1.843993014597624,1.0,3.2105000793524834,0.0,3.226079669893668,0.0,1.7651166481510872,0.921875,2.9713537533724805,0.796875,1.2967749139918654,arima,1.0,arima,2.9713537533724805,gpt4o_with_context,0.796875,gpt4o_with_context,1.7651166481510872,0.921875,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
task_003,1.7223088923556942,0.0,3.435936069605508,0.2051282051282051,1.7255752730109206,0.1923076923076923,2.5030571550134733,0.1923076923076923,6.17125230463764,0.2435897435897435,5.660970075166643,0.2307692307692307,1.7223088923556942,arima,0.2051282051282051,ets,2.5030571550134733,llmp_with_context,0.2307692307692307,gpt4o_with_context,1.7255752730109206,0.2435897435897435,0,1,0,1,0,0,0,0,0,1,llm_wins,llm_wins
task_004,9.506156106741471,0.0410958904109589,9.80229155527839,0.0410958904109589,7.597855802047781,0.0273972602739726,7.622945676905575,0.0410958904109589,9.341784495368112,0.0410958904109589,9.188200877620671,0.0410958904109589,9.506156106741471,arima,0.0410958904109589,arima,7.622945676905575,llmp_with_context,0.0410958904109589,llmp_with_context,7.597855802047781,0.0410958904109589,1,0,0,1,0,0,1,0,1,0,context_helped,arima
task_005,2.835758080622423,0.8648648648648649,6.246229703876441,0.1351351351351351,3.851425539655591,0.1216216216216216,3.848873756973077,0.1216216216216216,8.313970409895706,0.1351351351351351,7.223866116905167,0.1351351351351351,2.835758080622423,arima,0.8648648648648649,arima,3.848873756973077,llmp_with_context,0.1351351351351351,gpt4o_with_context,3.851425539655591,0.1351351351351351,0,0,0,0,1,0,0,0,0,0,llm_wins,arima
task_006,3.019973161466939,0.0,2.6600482503066902,0.0,1.622498943995339,1.0,1.642292822809701,0.984126984126984,1.6567620712256936,0.0,1.7806969630762508,0.0,2.6600482503066902,ets,0.0,arima,1.642292822809701,llmp_with_context,0.984126984126984,llmp_with_context,1.622498943995339,1.0,1,1,1,1,0,0,1,1,1,0,context_helped,llmp_no_context
task_007,2.5880356531896496,0.1095890410958904,3.925070170522861,0.1095890410958904,2.360265448683504,0.1095890410958904,2.36066513423687,0.1095890410958904,4.3381097378948,0.1095890410958904,4.264971043047346,0.1095890410958904,2.5880356531896496,arima,0.1095890410958904,arima,2.36066513423687,llmp_with_context,0.1095890410958904,llmp_with_context,2.360265448683504,0.1095890410958904,1,0,0,1,0,0,1,0,0,0,context_helped,arima
task_008,10.21279822685244,0.0147058823529411,9.534266637218222,0.0147058823529411,5.936819130783901,0.0147058823529411,5.885208973200844,0.0147058823529411,7.957844022884673,0.0147058823529411,9.28906955736224,0.0147058823529411,9.534266637218222,ets,0.0147058823529411,arima,5.885208973200844,llmp_with_context,0.0147058823529411,llmp_with_context,5.936819130783901,0.0147058823529411,1,0,0,1,1,0,1,0,1,0,llm_wins,arima
task_009,2.389015410774525,0.1447368421052631,3.958608064729313,0.1578947368421052,2.656017043096804,0.1447368421052631,2.563490011263264,0.1578947368421052,12.637737862351056,0.1578947368421052,9.51218210919438,0.1578947368421052,2.389015410774525,arima,0.1578947368421052,ets,2.563490011263264,llmp_with_context,0.1578947368421052,llmp_with_context,2.656017043096804,0.1578947368421052,0,0,0,0,1,0,0,0,0,0,llm_wins,ets
