task_id,mae,nmae,da,status,horizon
task_000,361.99059765781755,0.5590894816406624,0.10752688172043011,success,93
task_001,307.70898850475197,0.496811244713253,0.9444444444444444,success,18
task_002,1.7038289277318994,0.005971177304791619,0.0,success,15
task_003,1258.9116463313212,3.7386412248562957,0.0,success,29
task_004,589.6445361366101,0.6800410648086277,0.55,success,40
task_005,9.500442858160987,0.03344893817495223,0.0,success,21
task_006,1225.425748726568,3.327929085736847,0.0,success,18
task_007,1015.8238772728042,1.7577730175403687,0.0,success,94
task_008,1228.055995441186,0.8112383035152018,0.0,success,22
task_009,161.5812638597832,0.3617103703285936,0.1896551724137931,success,58
