task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,gpt4o_no_context_nmae,gpt4o_no_context_da,gpt4o_with_context_nmae,gpt4o_with_context_da,best_baseline_nmae,best_baseline_nmae_model,best_baseline_da,best_baseline_da_model,best_llm_context_nmae,best_llm_context_nmae_model,best_llm_context_da,best_llm_context_da_model,best_llm_no_context_nmae,best_llm_no_context_da,llm_wins_nmae,llm_wins_da,llm_wins_both,llm_wins_either,context_helped_nmae,context_helped_da,llmp_wins_nmae,llmp_wins_da,gpt4o_wins_nmae,gpt4o_wins_da,best_model_nmae,best_model_da
task_000,0.5590894816406624,0.1075268817204301,0.5576009686712051,0.075268817204301,0.5567838706230481,0.075268817204301,0.5568077160506284,0.075268817204301,0.5592399330509176,0.086021505376344,0.5650791255164505,0.086021505376344,0.5576009686712051,ets,0.1075268817204301,arima,0.5568077160506284,llmp_with_context,0.086021505376344,gpt4o_with_context,0.5567838706230481,0.086021505376344,1,0,0,1,0,0,1,0,0,0,context_helped,arima
task_001,0.496811244713253,0.9444444444444444,0.3834643456321837,0.9444444444444444,0.5337644680176771,0.0555555555555555,0.5352353221715744,0.0555555555555555,0.5299908326155183,0.2222222222222222,0.982653134135728,0.7777777777777778,0.3834643456321837,ets,0.9444444444444444,arima,0.5352353221715744,llmp_with_context,0.7777777777777778,gpt4o_with_context,0.5299908326155183,0.2222222222222222,0,0,0,0,0,1,0,0,0,0,llm_wins,context_helped
task_002,0.0059711773047916,0.0,0.0238815855587262,0.0,0.0020003704347969,1.0,0.0022414844292145,1.0,0.0020144901766152,1.0,0.0012074757498148,1.0,0.0059711773047916,arima,0.0,arima,0.0012074757498148,gpt4o_with_context,1.0,llmp_with_context,0.0020003704347969,1.0,1,1,1,1,1,0,1,1,1,1,gpt4o_with_context,llmp_no_context
task_003,3.738641224856296,0.0,3.79113474270685,0.0,3.7308304772474425,1.0,3.742630588535843,0.1034482758620689,3.7308953234142814,0.0,3.7308953234142814,0.0,3.738641224856296,arima,0.0,arima,3.7308953234142814,gpt4o_with_context,0.1034482758620689,llmp_with_context,3.7308304772474425,1.0,1,1,1,1,0,0,0,1,1,0,context_helped,llmp_no_context
task_004,0.6800410648086277,0.55,0.6821905166830549,0.55,0.680038299087583,0.475,0.6800880354441885,0.45,0.6800942421570575,0.45,0.6800908831509446,0.45,0.6800410648086277,arima,0.55,arima,0.6800880354441885,llmp_with_context,0.45,llmp_with_context,0.680038299087583,0.475,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
task_005,0.0334489381749522,0.0,0.0274659699349877,0.0,0.0549116670162314,0.0476190476190476,0.0285411610514353,0.0,0.4269433481140418,0.1904761904761904,1.316339081535031,0.0,0.0274659699349877,ets,0.0,arima,0.0285411610514353,llmp_with_context,0.0,llmp_with_context,0.0549116670162314,0.1904761904761904,0,0,0,0,1,0,0,0,0,0,llm_wins,gpt4o_no_context
task_006,3.327929085736847,0.0,3.355684548381274,0.0,3.3067667268100136,0.1111111111111111,3.406318958945461,0.0555555555555555,2.9093190232437385,1.0,3.3152534928669284,1.0,3.327929085736847,arima,0.0,arima,3.3152534928669284,gpt4o_with_context,1.0,gpt4o_with_context,2.9093190232437385,1.0,1,1,1,1,0,0,0,1,1,1,context_helped,gpt4o_no_context
task_007,1.7577730175403687,0.0,1.8596976651901695,0.0,1.8528594597092327,0.010752688172043,1.779001654492547,0.0,0.971621892253247,1.0,0.971621892253247,1.0,1.7577730175403687,arima,0.0,arima,0.971621892253247,gpt4o_with_context,1.0,gpt4o_with_context,0.971621892253247,1.0,1,1,1,1,0,0,0,0,1,1,context_helped,gpt4o_no_context
task_008,0.8112383035152018,0.0,0.8117880014254967,0.0,0.8111195089983664,1.0,0.811110420917318,0.9545454545454546,0.811403654658384,0.3181818181818182,0.8115102134095619,0.1818181818181818,0.8112383035152018,arima,0.0,arima,0.811110420917318,llmp_with_context,0.9545454545454546,llmp_with_context,0.8111195089983664,1.0,1,1,1,1,1,0,1,1,0,1,gpt4o_wins,llmp_no_context
task_009,0.3617103703285936,0.1896551724137931,0.3618700517590608,0.1896551724137931,0.3620583004235095,0.1896551724137931,0.3620713666671832,0.1896551724137931,0.3612957716779792,0.1896551724137931,0.3618939970767628,0.1724137931034483,0.3617103703285936,arima,0.1896551724137931,arima,0.3618939970767628,gpt4o_with_context,0.1896551724137931,llmp_with_context,0.3612957716779792,0.1896551724137931,0,0,0,0,0,0,0,0,0,0,llm_wins,arima
