task_id,mae,nmae,da,status,horizon
task_000,0.24454555555555565,0.0657970104633782,1.0,success,6
task_001,0.72451,0.16404,1.0,success,6
task_002,1.4589244444444442,0.43767733333333325,0.0,success,6
task_003,0.8124816666666664,0.2031204166666666,0.3333333333333333,success,6
task_004,0.4678594444444444,0.1281806697108067,0.16666666666666666,success,6
task_005,0.24050111111111114,0.09883607305936074,0.8333333333333334,success,6
task_006,2.152256111111111,0.3518674841053588,0.16666666666666666,success,6
task_007,1.7327977777777772,0.30399961013645216,0.16666666666666666,success,6
task_008,1.0280788888888888,0.20910079096045195,0.8333333333333334,success,6
task_009,0.995139444444444,0.18658864583333326,0.5,success,6
